1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Country Code
35.69741465,34.59048808,33.15526766,31.46389801,32.15853389,33.53314035,34.24927611,37.02808274,38.35102119,39.35703789,43.34627395,44.61755552,45.3193862,44.57041472,46.86721497,48.6197522,50.84166886,52.56086942,53.24886062,45.20741656,51.26216033,53.94867085,53.9736762,53.4412933,53.38657905,53.08906056,52.45109491,54.03767102,AUT
43.86084584,45.65868263,86.20360573,57.46242038,24.72111022,32.48664355,24.92863939,29.03460723,22.69952915,27.97012,40.17083148,41.49860787,42.76783505,42.00657665,48.78900846,62.94110601,66.50414484,68.12891169,65.77613785,51.63574568,54.30472154,56.42698053,52.97468019,48.41583308,43.27355666,37.79477749,46.42764939,48.54786473,AZE
7.872992294,9.917377701,8.749180522,9.381960846,10.27176505,12.92634285,5.820321019,9.835472579,7.999750125,7.575757576,6.318970594,5.179202165,4.685804181,6.381414025,6.952748287,6.2,7.3,6.800000136,10.50000026,6.600000274,9.700001639,8.800000284,9.700000891,9.1,7.603418782,5.732968591,6.65258895,7.4447026,BDI
61.61369079,60.22965503,58.80893059,56.10774129,58.42495903,60.11437172,61.19239096,64.78658108,64.17434502,64.56305952,72.54739516,71.61195892,70.8312977,69.03650851,70.90627745,74.28282892,76.80499706,78.3018047,80.88061998,68.83400371,75.85006448,80.69736291,80.40449051,79.3243484,79.80100907,77.80528215,79.40269776,82.38680625,BEL
19.18130301,21.00248606,23.23914805,22.46438304,28.32701862,27.3689425,26.49881155,27.17613459,27.09293955,23.00953079,20.60530255,19.86857881,19.72661078,18.64429725,18.51354757,18.48363998,18.05792571,22.04285312,22.14072027,19.92796684,23.07204807,20.8496515,23.89673687,27.57056532,31.43084112,24.72045121,27.60678807,27.20559478,BEN
10.96669141,10.44754844,8.846480369,8.951543281,14.20162115,14.14055654,10.56360521,10.812531,12.80810302,8.354005506,8.844717485,9.044082767,8.865365632,9.220431658,10.8815873,9.841847478,10.9568635,10.34854222,10.14932705,13.78897086,20.51584886,26.19550052,26.59808542,27.07698545,26.93200415,26.10764554,25.93779648,26.32005999,BFA
5.908316487,6.662611969,7.58667691,9.017269036,9.001543646,10.86463421,9.70650765,10.52037056,11.75733123,11.75864239,12.34420123,13.38655921,12.40996893,11.4311487,11.14650895,14.3928419,16.35346357,16.99533485,17.65885848,16.94013291,16.02411269,19.92207496,20.16158886,19.53787411,18.98966,17.33667379,16.64971688,15.03610611,BGD
33.11919208,43.47826087,47.11155378,38.20675811,45.04756469,32.33950887,48.49698831,49.57618754,41.94134883,42.74979463,36.21885804,34.88131742,33.64730372,34.416944,40.95663729,42.52956666,46.97787863,52.38770566,52.51854154,42.23859933,50.42479702,59.12547344,60.67447682,64.83588245,64.82670242,63.99073245,64.070989,67.30355987,BGR
115.5558287,85.00316299,84.38199172,83.87459725,81.19327022,81.9905466,87.9135243,79.07678218,64.60367296,78.86724559,79.18066703,73.61076132,72.5085663,72.063072,78.60514596,83.89404821,84.63894426,79.67952923,82.57734838,68.46559387,69.53731774,99.41866913,102.1455248,104.8048033,96.05075125,82.90638896,74.16594852,75.88692791,BHR
54.16077069,50.9510922,50.24702477,51.96668823,51.02147898,49.54913969,48.03768357,36.88040478,34.65716017,36.45688956,38.04756286,34.07258864,36.17545456,35.81023417,38.2152311,38.75988695,38.30927734,40.09195411,39.49363481,34.19067999,34.95328732,37.43526853,38.12695303,40.19521524,38.01874777,35.10036333,35.27440863,34.5017448,BHS
