exports_t,exports_t1,netusers_t,netusers_t1,id
9.786072312,10.21975999,0.040438041,0.020293683,JPN;1991
NA,NA,NA,0,KAZ;1991
27.04163232,25.69260596,NA,0,KEN;1991
35.35135135,29.20560748,NA,0,KGZ;1991
NA,NA,NA,0,KHM;1991
21.92213115,20.23098039,NA,0,KIR;1991
43.96625313,37.92027955,NA,0,KNA;1991
23.77657475,24.99434074,0.046124435,0.023265092,KOR;1991
16.90203901,44.93894897,NA,0,KWT;1991
14.04942449,15.57196467,NA,0,LAC;1991
12.95372648,11.32876329,NA,0,LAO;1991
12.52883571,17.99278605,NA,0,LBN;1991
NA,NA,NA,0,LBR;1991
33.83142189,39.67623702,NA,0,LBY;1991
NA,NA,NA,0,LCA;1991
15.8536365,17.26493662,NA,0,LCN;1991
NA,NA,NA,0,LDC;1991
NA,NA,NA,0,LIC;1991
NA,NA,NA,0,LIE;1991
28.7410869,30.18080451,NA,0,LKA;1991
17.37658212,15.87792968,NA,0,LMC;1991
16.8645028,17.05899041,NA,0,LMY;1991
NA,NA,NA,0,LSO;1991
17.95919177,18.2048125,NA,0,LTE;1991
NA,NA,NA,0,LTU;1991
97.69553609,97.80076099,NA,0,LUX;1991
NA,NA,NA,0,LVA;1991
92.37381677,99.0323205,NA,0,MAC;1991
NA,NA,NA,NA,MAF;1991
22.31876775,24.55932051,NA,0,MAR;1991
NA,NA,NA,0,MCO;1991
NA,NA,NA,0,MDA;1991
15.97244826,12.87027078,NA,0,MDG;1991
76.9300862,85.45299645,0,0,MDV;1991
26.38696076,29.10690676,NA,0.001938978,MEA;1991
16.43339003,18.70447105,0.005880695,0,MEX;1991
NA,NA,0,0,MHL;1991
16.90136285,17.07613501,NA,0,MIC;1991
21.77572314,24.56785714,NA,0,MKD;1991
16.21126857,15.65359181,NA,0,MLI;1991
77.37196474,75.83362624,NA,0,MLT;1991
NA,NA,NA,0,MMR;1991
20.55628068,20.24645524,NA,0,MNA;1991
NA,NA,NA,NA,MNE;1991
54.06845984,18.27470168,NA,0,MNG;1991
NA,NA,NA,0,MNP;1991
7.970905876,NA,NA,0,MOZ;1991
27.54063192,36.17996812,NA,0,MRT;1991
62.30528898,64.95689655,NA,0,MUS;1991
23.27158384,23.78207431,NA,0,MWI;1991
77.82555283,74.4661197,NA,0,MYS;1991
11.00225899,10.69863662,1.104655998,0.742835611,NAC;1991
44.05937108,43.6258335,NA,0,NAM;1991
16.90891998,18.48762379,NA,0,NCL;1991
11.9332403,14.96645887,NA,0,NER;1991
24.24686728,20.97477285,NA,0,NGA;1991
21.82198402,24.94835926,NA,0,NIC;1991
55.10901405,54.4147456,0.531496128,0.334386942,NLD;1991
39.20302448,39.41949164,1.407395158,0.707299448,NOR;1991
11.49075129,10.52730912,0,0,NPL;1991
NA,NA,NA,0,NRU;1991
29.16134637,26.76185847,NA,0,NZL;1991
17.98087166,17.98216481,0.431736198,0.236650944,OED;1991
43.06549257,47.23007412,NA,0,OMN;1991
NA,NA,NA,0,OSS;1991
16.93239271,14.78871841,NA,0,PAK;1991
64.35225616,57.49329457,NA,0,PAN;1991
12.20238667,15.69719146,NA,0,PER;1991
29.59725515,27.51622902,NA,0,PHL;1991
NA,NA,NA,0,PLW;1991
42.2648103,40.62479683,NA,0,PNG;1991
NA,NA,0.005229468,0,POL;1991
16.23931684,16.97392336,NA,0,PRE;1991
66.04199686,63.08146352,NA,0,PRI;1991
NA,NA,NA,0,PRK;1991
26.54755933,29.16917822,0.10023057,0,PRT;1991
50.84206857,52.22353052,NA,0,PRY;1991
NA,NA,NA,0,PSE;1991
NA,NA,NA,0,PSS;1991
19.25191129,19.28692297,0.492555539,0.270412072,PST;1991
1.3198918,NA,NA,0,PYF;1991
NA,NA,NA,0,QAT;1991
17.60061709,16.72689125,NA,0,ROU;1991
13.27136217,18.16206147,NA,0,RUS;1991
7.316604443,5.614609155,NA,0,RWA;1991
9.812335607,8.430364829,NA,0,SAS;1991
38.30838857,40.33479408,NA,0,SAU;1991
3.335025827,4.021389103,NA,0,SDN;1991
23.09263558,25.41053581,NA,0,SEN;1991
168.5461939,177.1925444,0.161504498,0,SGP;1991
33.54030125,30.05228758,NA,0,SLB;1991
31.24937598,34.6898949,NA,0,SLE;1991
17.2257734,18.49698742,NA,0,SLV;1991
NA,NA,NA,0,SMR;1991
NA,9.786747186,NA,0,SOM;1991
NA,NA,NA,NA,SRB;1991
21.38914412,21.83263509,NA,0,SSA;1991
NA,NA,NA,NA,SSD;1991
21.81161205,22.28499226,NA,0,SSF;1991
NA,NA,NA,0,SST;1991
NA,NA,NA,0,STP;1991
NA,NA,NA,0,SUR;1991
41.58058811,23.81348944,NA,0,SVK;1991
74.58575692,81.03645207,NA,0,SVN;1991
26.09472228,27.92217781,1.160519453,0.584192066,SWE;1991
59.25919267,59.02125235,NA,0,SWZ;1991
NA,NA,NA,NA,SXM;1991
13.04328064,15.32738549,NA,0,SYC;1991
24.40525863,28.3391968,0,0,SYR;1991
NA,NA,NA,0,TCA;1991
11.95163306,13.48020825,NA,0,TCD;1991
19.42316699,18.43736388,NA,0,TEA;1991
16.35040601,18.79916703,NA,0,TEC;1991
33.44277751,33.47388988,0,0,TGO;1991
35.96430952,34.13192824,5.22e-5,0,THA;1991
NA,NA,NA,0,TJK;1991
38.98305085,NA,NA,0,TKM;1991
15.01724757,16.38905706,NA,0,TLA;1991
NA,NA,NA,0,TLS;1991
20.55628068,20.24645524,NA,0,TMN;1991
22.90329732,33.87017859,NA,0,TON;1991
9.812335607,8.430364829,NA,0,TSA;1991
21.81161205,22.28499226,NA,0,TSS;1991
NA,NA,NA,0,TTO;1991
40.36562251,43.55705132,NA,0,TUN;1991
13.84113011,13.36510285,NA,0,TUR;1991
NA,NA,NA,0,TUV;1991
10.26206119,12.62114885,NA,0,TZA;1991
7.464430308,7.240720859,NA,0,UGA;1991
26.11541544,27.64315204,NA,0,UKR;1991
16.79031801,17.35651152,NA,0,UMC;1991
20.6936683,23.53212337,NA,0,URY;1991
9.660905122,9.254732068,1.163193726,0.784728502,USA;1991
NA,NA,NA,0,UZB;1991
44.48578571,54.15369312,NA,0,VCT;1991
30.34018197,38.17531647,NA,0,VEN;1991
NA,NA,NA,0,VGB;1991
NA,NA,NA,0,VIR;1991
30.91503934,36.03861364,NA,0,VNM;1991
42.65396103,47.08229964,NA,0,VUT;1991
19.20111745,19.33572817,NA,0.04923535,WLD;1991
NA,NA,NA,0,WSM;1991
NA,NA,NA,NA,XKX;1991
NA,NA,NA,0,YEM;1991
21.0980438,23.49492091,0.013283591,0,ZAF;1991
NA,NA,NA,0,ZMB;1991
23.88346897,22.86684557,NA,0,ZWE;1991
NA,NA,NA,NA,ABW;1992
NA,NA,NA,NA,AFG;1992
NA,NA,NA,NA,AGO;1992
12.49959149,7.484818725,NA,NA,ALB;1992
NA,NA,NA,NA,AND;1992
30.54362937,28.94634675,NA,NA,ARB;1992
NA,NA,NA,NA,ARE;1992
6.598187472,7.675043348,0.002992874,NA,ARG;1992
39.82075502,40.74538838,NA,NA,ARM;1992
NA,NA,NA,NA,ASM;1992
81.5706077,76.78183519,NA,NA,ATG;1992
16.69136445,16.06140736,1.768764913,1.097203891,AUS;1992
33.15526766,34.59048808,0.642817619,0.259081553,AUT;1992
86.20360573,45.65868263,NA,NA,AZE;1992
8.749180522,9.917377701,0,0,BDI;1992
58.80893059,60.22965503,0.100041027,0.020072645,BEL;1992
23.23914805,21.00248606,NA,NA,BEN;1992
8.846480369,10.44754844,NA,NA,BFA;1992
7.58667691,6.662611969,NA,NA,BGD;1992
47.11155378,43.47826087,NA,NA,BGR;1992
84.38199172,85.00316299,NA,NA,BHR;1992
50.24702477,50.9510922,NA,NA,BHS;1992
NA,NA,NA,NA,BIH;1992
59.7826087,33.33333333,NA,NA,BLR;1992
49.71944417,43.6228802,NA,NA,BLZ;1992
NA,NA,NA,NA,BMU;1992
20.04576087,21.47934616,NA,NA,BOL;1992
10.86824925,8.676973095,0.012946262,0.003288171,BRA;1992
41.33367399,40.56102362,NA,NA,BRB;1992
57.87234043,66.67709148,NA,NA,BRN;1992
31.98648221,32.15821957,NA,NA,BTN;1992
48.1795631,53.02951416,NA,0,BWA;1992
16.8657,17.58667102,NA,NA,CAF;1992
26.28757058,24.44108213,0.91598104,0.570385926,CAN;1992
NA,NA,NA,NA,CEB;1992
41.41189285,40.49509277,1.751713322,1.17995597,CHE;1992
NA,NA,NA,NA,CHI;1992
28.96179193,31.3010166,0.036548938,NA,CHL;1992
15.65821968,14.48787815,NA,NA,CHN;1992
31.90948693,30.01172634,NA,NA,CIV;1992
20.54702225,19.99888046,NA,NA,CMR;1992
NA,NA,NA,NA,COD;1992
40.69209692,41.63458853,NA,NA,COG;1992
16.5185547,19.0945389,NA,NA,COL;1992
8.836502404,8.836287957,NA,NA,COM;1992
17.28300759,16.56407354,NA,NA,CPV;1992
35.42840704,33.53320911,0.001113325,NA,CRI;1992
NA,NA,NA,NA,CSS;1992
16.91826697,21.93117971,NA,NA,CUB;1992
NA,NA,NA,NA,CUW;1992
NA,NA,NA,NA,CYM;1992
49.45696026,47.08565081,0.05006043,NA,CYP;1992
40.04592951,38.60816489,NA,NA,CZE;1992
22.19469349,23.664901,0.43528529,0.250274153,DEU;1992
NA,NA,NA,NA,DJI;1992
42.58832045,42.00648948,NA,NA,DMA;1992
36.95438333,37.68247711,0.386913951,0.194056515,DNK;1992
36.80375032,19.19628692,NA,NA,DOM;1992
25.31959428,29.11782217,NA,NA,DZA;1992
20.52735648,19.42316699,NA,NA,EAP;1992
19.36875607,19.39252229,NA,NA,EAR;1992
21.22000835,20.85286357,NA,NA,EAS;1992
47.33916311,16.26371056,NA,NA,ECA;1992
29.03892173,25.2734082,0.262321897,NA,ECS;1992
24.13374014,23.67458359,0.005118035,NA,ECU;1992
28.39683681,27.46666667,NA,NA,EGY;1992
25.62449988,25.93174356,0.325776979,0.169180608,EMU;1992
11.42360635,NA,NA,NA,ERI;1992
16.18754901,15.76071985,0.076845453,0.025686194,ESP;1992
NA,NA,0.065484797,NA,EST;1992
NA,NA,NA,NA,ETH;1992
26.21071999,26.36767008,0.317933291,0.171190215,EUU;1992
20.07332246,21.82928642,NA,NA,FCS;1992
25.54433724,21.26951979,1.88687977,1.397439332,FIN;1992
NA,NA,NA,NA,FJI;1992
21.33055935,21.33488442,0.279049463,0.140113895,FRA;1992
NA,NA,NA,NA,FRO;1992
NA,NA,NA,NA,FSM;1992
46.07555286,47.26345929,NA,NA,GAB;1992
22.67027886,22.3459286,0.260615159,0.174230922,GBR;1992
35.65683646,27.60416667,NA,NA,GEO;1992
17.22595549,16.96354606,NA,NA,GHA;1992
NA,NA,NA,NA,GIB;1992
24.87461354,30.33087892,NA,NA,GIN;1992
30.59270667,29.43891965,NA,NA,GMB;1992
4.902489849,9.982487202,NA,NA,GNB;1992
NA,NA,NA,NA,GNQ;1992
14.87883934,14.19963936,0.048291602,0.048788803,GRC;1992
32.10166494,32.43411121,0,0,GRD;1992
NA,NA,NA,NA,GRL;1992
18.06598943,17.95260596,NA,NA,GTM;1992
NA,NA,NA,NA,GUM;1992
125.7484534,102.3145291,NA,NA,GUY;1992
20.20847906,20.16122859,0.715642001,0.459614346,HIC;1992
122.666485,119.3323526,0.849527883,0.120955444,HKG;1992
33.40840295,33.84899143,NA,NA,HND;1992
17.24718249,16.95460932,NA,NA,HPC;1992
NA,NA,NA,NA,HRV;1992
7.571511403,10.31144548,NA,NA,HTI;1992
27.61467942,28.76801053,0.048353421,0.00338263,HUN;1992
22.13935981,17.01991687,NA,NA,IBD;1992
21.97530711,17.10631366,NA,NA,IBT;1992
19.09066283,18.61782764,NA,NA,IDA;1992
22.36467624,22.26889147,NA,NA,IDB;1992
30.30746351,28.35126107,NA,NA,IDN;1992
15.78912907,14.92298199,NA,NA,IDX;1992
NA,NA,NA,NA,IMN;1992
8.842926925,8.494240771,1.11308e-4,NA,IND;1992
NA,NA,NA,NA,INX;1992
58.33562004,55.51536877,0.169686377,0.056796044,IRL;1992
13.16459067,13.82432029,NA,NA,IRN;1992
0.582407539,1.290410727,NA,NA,IRQ;1992
29.80537236,30.7909646,1.53916008,0.505129002,ISL;1992
26.01534094,25.47998987,0.310579197,0.2146241,ISR;1992
17.47918991,17.03600937,0.070053433,0.035063256,ITA;1992
62.27454403,50.20733866,NA,NA,JAM;1992
49.66176298,57.39012847,NA,NA,JOR;1992
9.692079156,9.786072312,0.096678025,0.040438041,JPN;1992
74.00497098,NA,NA,NA,KAZ;1992
26.26037419,27.04163232,NA,NA,KEN;1992
35.58613247,35.35135135,NA,NA,KGZ;1992
NA,NA,NA,NA,KHM;1992
20.99076923,21.92213115,NA,NA,KIR;1992
46.58397444,43.96625313,NA,NA,KNA;1992
24.07238864,23.77657475,0.098404337,0.046124435,KOR;1992
40.47026619,16.90203901,NA,NA,KWT;1992
14.2881647,14.04942449,0.01263692,NA,LAC;1992
17.02575543,12.95372648,NA,NA,LAO;1992
10.85070516,12.52883571,NA,NA,LBN;1992
NA,NA,NA,NA,LBR;1992
30.58903679,33.83142189,NA,NA,LBY;1992
NA,NA,NA,NA,LCA;1992
15.92946718,15.8536365,0.013651855,NA,LCN;1992
NA,NA,NA,NA,LDC;1992
NA,NA,NA,NA,LIC;1992
NA,NA,NA,NA,LIE;1992
31.77037408,28.7410869,NA,NA,LKA;1992
17.47515269,17.37658212,NA,NA,LMC;1992
21.74197516,16.8645028,NA,NA,LMY;1992
NA,NA,NA,NA,LSO;1992
26.33673509,17.95919177,NA,NA,LTE;1992
NA,NA,NA,NA,LTU;1992
96.70785705,97.69553609,0.153198791,NA,LUX;1992
NA,NA,NA,NA,LVA;1992
82.68503998,92.37381677,NA,NA,MAC;1992
NA,NA,NA,NA,MAF;1992
22.17215462,22.31876775,NA,NA,MAR;1992
NA,NA,NA,NA,MCO;1992
NA,NA,NA,NA,MDA;1992
14.496154,15.97244826,NA,NA,MDG;1992
78.02659338,76.9300862,0,0,MDV;1992
27.43955355,26.38696076,NA,NA,MEA;1992
15.25674444,16.43339003,0.01730781,0.005880695,MEX;1992
NA,NA,0,0,MHL;1992
21.83104786,16.90136285,NA,NA,MIC;1992
51.66390456,21.77572314,NA,NA,MKD;1992
15.62910335,16.21126857,NA,NA,MLI;1992
81.75957786,77.37196474,NA,NA,MLT;1992
NA,NA,NA,NA,MMR;1992
19.56092127,20.55628068,NA,NA,MNA;1992
NA,NA,NA,NA,MNE;1992
28.93299325,54.06845984,NA,NA,MNG;1992
NA,NA,NA,NA,MNP;1992
9.062516062,7.970905876,NA,NA,MOZ;1992
22.37196354,27.54063192,NA,NA,MRT;1992
59.30459751,62.30528898,NA,NA,MUS;1992
23.20622472,23.27158384,NA,NA,MWI;1992
75.98386005,77.82555283,0.001047822,NA,MYS;1992
11.21348714,11.00225899,1.64422227,1.104655998,NAC;1992
43.07524362,44.05937108,NA,NA,NAM;1992
13.71048336,16.90891998,NA,NA,NCL;1992
11.69544135,11.9332403,NA,NA,NER;1992
23.9747503,24.24686728,NA,NA,NGA;1992
17.25122713,21.82198402,NA,NA,NIC;1992
53.37606993,55.10901405,1.320008028,0.531496128,NLD;1992
37.13658831,39.20302448,2.216365832,1.407395158,NOR;1992
15.95972613,11.49075129,0,0,NPL;1992
NA,NA,NA,NA,NRU;1992
31.19167677,29.16134637,0.285941241,NA,NZL;1992
17.94881478,17.98087166,0.665638441,0.431736198,OED;1992
44.71689049,43.06549257,NA,NA,OMN;1992
NA,NA,NA,NA,OSS;1992
17.27072731,16.93239271,NA,NA,PAK;1992
66.35669502,64.35225616,NA,NA,PAN;1992
12.51350577,12.20238667,NA,NA,PER;1992
29.12976792,29.59725515,NA,NA,PHL;1992
NA,NA,NA,NA,PLW;1992
47.84986976,42.2648103,NA,NA,PNG;1992
NA,NA,0.052127181,0.005229468,POL;1992
16.16814274,16.23931684,NA,NA,PRE;1992
60.78815654,66.04199686,NA,NA,PRI;1992
NA,NA,NA,NA,PRK;1992
24.45867079,26.54755933,0.250426501,0.10023057,PRT;1992
49.8340112,50.84206857,NA,NA,PRY;1992
NA,NA,NA,NA,PSE;1992
NA,NA,NA,NA,PSS;1992
19.20267995,19.25191129,0.772691085,0.492555539,PST;1992
1.423082336,1.3198918,NA,NA,PYF;1992
NA,NA,NA,NA,QAT;1992
27.79141511,17.60061709,NA,NA,ROU;1992
62.32246186,13.27136217,6.72532e-4,NA,RUS;1992
5.56840819,7.316604443,NA,NA,RWA;1992
10.29501374,9.812335607,1.08892e-4,NA,SAS;1992
39.10679939,38.30838857,NA,NA,SAU;1992
5.246076309,3.335025827,NA,NA,SDN;1992
22.34883017,23.09263558,NA,NA,SEN;1992
161.7259498,168.5461939,0.471368155,0.161504498,SGP;1992
33.90136146,33.54030125,NA,NA,SLB;1992
31.59094322,31.24937598,NA,NA,SLE;1992
16.13291556,17.2257734,NA,NA,SLV;1992
NA,NA,NA,NA,SMR;1992
NA,NA,NA,NA,SOM;1992
NA,NA,NA,NA,SRB;1992
21.23098188,21.38914412,NA,NA,SSA;1992
NA,NA,NA,NA,SSD;1992
21.62103731,21.81161205,NA,NA,SSF;1992
NA,NA,NA,NA,SST;1992
NA,NA,NA,NA,STP;1992
NA,NA,NA,NA,SUR;1992
63.23921753,41.58058811,NA,NA,SVK;1992
56.37842836,74.58575692,NA,NA,SVN;1992
25.95759514,26.09472228,1.497871352,1.160519453,SWE;1992
57.3491644,59.25919267,NA,NA,SWZ;1992
NA,NA,NA,NA,SXM;1992
11.05983252,13.04328064,NA,NA,SYC;1992
26.25649167,24.40525863,0,0,SYR;1992
NA,NA,NA,NA,TCA;1992
11.09074639,11.95163306,NA,NA,TCD;1992
